shrid2,connected_villages,num_connected_villages,num_connected_roads,road_index
11-24-472-03760-509790,['11-24-472-03760-509784'],1,1,[2240]
11-24-472-03760-509799,"['11-24-472-03760-509791', '11-24-472-03760-509800', '11-24-472-03760-509789', '11-24-472-03760-509804']",4,2,"[2082, 2083]"
11-24-472-03760-509818,"['11-24-472-03760-509833', '11-24-472-03760-509832']",2,2,"[2084, 2085]"
11-24-472-03760-509823,"['11-24-472-03760-509822', '11-24-472-03760-509820', '11-24-472-03760-509835']",3,1,[2086]
11-24-472-03760-509829,['11-24-472-03760-509828'],1,1,[2260]
11-24-472-03760-509832,"['11-24-472-03760-509833', '11-24-472-03760-509818']",2,1,[2085]
11-24-472-03761-509875,['11-24-472-03761-509874'],1,1,[1161]
11-24-472-03761-509892,"['11-24-472-03761-509900', '11-24-472-03761-509910', '11-24-472-03761-509909', '11-24-472-03761-509899']",4,1,[2096]
11-24-472-03763-510033,"['11-24-472-03763-510062', '11-24-472-03763-510034', '11-24-472-03763-510063']",3,1,[1994]
11-24-472-03764-510154,"['11-24-472-03761-509949', '11-24-472-03761-509947', '11-24-472-03761-509950', '11-24-472-03761-509946']",4,1,[1163]
11-24-472-03764-510158,"['11-24-472-03764-510171', '11-24-472-03764-510159', '11-24-472-03764-510170', '11-24-472-03764-510161']",4,1,[2217]
11-24-472-03764-510194,"['11-24-472-03764-510222', '11-24-472-03764-510218']",2,1,[1482]
11-24-472-03764-510225,['11-24-472-03764-510216'],1,1,[2263]
11-24-472-03764-510239,[],0,2,"[1284, 2404]"
11-24-472-03764-510244,"['11-24-472-03764-510269', '11-24-472-03764-510276']",2,2,"[1002, 1283]"
11-24-472-03764-510258,"['11-24-472-03764-510259', '11-24-472-03764-510286', '11-24-472-03765-510318']",3,1,[1493]
11-24-472-03764-510260,"['11-24-472-03764-510286', '11-24-472-03764-510222', '11-24-472-03765-510322', '11-24-472-03764-510259', '11-24-472-03764-510285', '11-24-472-03764-510252', '11-24-472-03764-510290', '11-24-472-03764-510253']",8,1,[2208]
11-24-472-03765-510318,"['11-24-472-03764-510259', '11-24-472-03764-510286', '11-24-472-03764-510258']",3,1,[1493]
11-24-472-03765-510323,"['11-24-472-03765-510344', '11-24-472-03765-510342', '11-24-472-03764-510308', '11-24-472-03765-510343', '11-24-472-03765-510341']",5,3,"[1124, 2231, 2408]"
11-24-472-03765-510324,"['11-24-472-03765-510325', '11-24-472-03765-510339']",2,1,[2244]
11-24-472-03765-510326,"['11-24-472-03765-510325', '11-24-472-03765-510321']",2,2,"[1174, 1178]"
11-24-472-03765-510355,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510357', '11-24-472-03765-510354', '11-24-472-03765-510330']",7,1,[2222]
11-24-472-03765-510357,"['11-24-472-03765-510332', '11-24-472-03765-510331', '11-24-472-03765-510360', '11-24-472-03765-510356', '11-24-472-03765-510355', '11-24-472-03765-510359', '11-24-472-03765-510358', '11-24-472-03765-510354', '11-24-472-03765-510330']",9,2,"[74, 2222]"
11-24-472-03765-510384,"['11-24-472-03765-510382', '11-24-472-03765-510362', '11-24-472-03765-510360', '11-24-472-03765-510361', '11-24-472-03765-510353', '11-24-472-03765-510386', '11-24-472-03765-510385']",7,2,"[1287, 2238]"
11-24-472-03765-510386,"['11-24-472-03765-510384', '11-24-472-03765-510394', '11-24-472-03765-510385']",3,2,"[2238, 2324]"
11-24-472-03765-510415,"['11-24-472-03765-510430', '11-24-472-03765-510431', '11-24-472-03765-510421', '11-24-472-03765-510422', '11-24-472-03765-510432', '11-24-472-03765-510429']",6,1,[1286]
11-24-472-03765-510432,"['11-24-472-03765-510430', '11-24-472-03765-510431', '11-24-472-03765-510421', '11-24-472-03765-510422', '11-24-472-03765-510415', '11-24-472-03765-510429']",6,1,[1286]
11-24-472-03765-510435,"['11-24-472-03765-510427', '11-24-472-03771-510912', '11-24-472-03771-510909', '11-24-472-03771-510907']",4,1,[304]
11-24-472-03765-510438,"['11-24-472-03765-510433', '11-24-472-03765-510437', '11-24-472-03765-510436']",3,1,[224]
11-24-472-03765-510439,"['11-24-472-03771-510939', '11-24-472-03765-510440', '11-24-472-03765-510436']",3,2,"[1351, 1363]"
11-24-472-03766-510498,"['11-24-472-03766-510500', '11-24-472-03766-510468', '11-24-472-03766-510467', '11-24-472-03766-510469']",4,1,[2076]
11-24-472-03766-510500,"['11-24-472-03766-510498', '11-24-472-03766-510468', '11-24-472-03766-510467', '11-24-472-03766-510469']",4,1,[2076]
11-24-472-03766-510570,['11-24-472-03766-510553'],1,1,[1622]
11-24-472-03766-510580,"['11-24-472-03768-510651', '11-24-472-03766-510574', '11-24-472-03768-510650', '11-24-472-03769-510804']",4,2,"[2054, 2073]"
11-24-472-03768-510671,"['11-24-472-03768-510670', '11-24-472-03770-510842', '11-24-472-03768-510682']",3,1,[2267]
11-24-472-03768-510711,[],0,1,[2053]
11-24-472-03769-510773,"['11-24-472-03769-510788', '11-24-472-03769-510748', '11-24-472-03769-510765', '11-24-472-03769-510747', '11-24-472-03769-510787', '11-24-472-03769-510797']",6,2,"[2188, 2239]"
11-24-472-03769-510788,"['11-24-472-03769-510787', '11-24-472-03769-510773', '11-24-472-03769-510797']",3,1,[2188]
11-24-472-03769-510792,"['11-24-472-03769-510791', '11-24-472-03769-510814']",2,1,[1297]
11-24-472-03769-510813,[],0,1,[2255]
11-24-472-03770-510847,['11-24-472-03770-510846'],1,1,[2402]
11-24-472-03770-510848,"['11-24-472-03770-510833', '11-24-472-03770-510836', '11-24-472-03770-510834', '11-24-472-03770-510837']",4,2,"[76, 2337]"
11-24-472-03772-511003,['11-24-472-03772-511025'],1,1,[93]
11-24-472-03772-511010,['11-24-472-03772-511021'],1,1,[858]
11-24-472-03772-511021,['11-24-472-03772-511010'],1,1,[858]
11-24-472-03772-511105,['11-24-472-03772-511113'],1,1,[2406]
11-24-472-03772-511113,['11-24-472-03772-511105'],1,1,[2406]
11-24-472-03772-511115,['11-24-472-03772-511114'],1,1,[2288]
11-24-473-03773-511162,"['11-24-473-03773-511158', '11-24-473-03773-511159', '11-24-473-03773-511163']",3,1,[1487]
11-24-473-03773-511182,['11-24-474-03780-511571'],1,1,[878]
11-24-473-03774-511194,['11-24-471-03756-509442'],1,1,[152]
11-24-473-03774-511206,[],0,1,[2421]
11-24-473-03775-511271,[],0,1,[2426]
11-24-473-03775-511272,[],0,1,[142]
11-24-474-03782-511647,['11-24-474-03782-511643'],1,1,[722]
11-24-474-03782-511661,['11-24-474-03782-511655'],1,1,[1660]
11-24-474-03783-511696,['11-24-474-03783-511697'],1,2,"[689, 860]"
11-24-474-03786-511872,[],0,2,"[376, 379]"
11-24-475-03788-511952,['11-24-475-03788-511953'],1,1,[1325]
11-24-475-03789-512017,[],0,3,"[404, 2110, 2111]"
11-24-475-03790-512073,[],0,4,"[213, 450, 1359, 1360]"
11-24-476-03799-512710,"['11-24-476-03801-512780', '11-24-476-03799-512704', '11-24-476-03799-512712']",3,2,"[2187, 2195]"
11-24-476-03801-512767,[],0,1,[199]
11-24-476-03801-512818,['11-24-476-03801-512833'],1,1,[442]
11-24-476-03801-512828,"['11-24-476-03801-512827', '11-24-476-03801-512829']",2,1,[2197]
11-24-476-03801-512833,['11-24-476-03801-512818'],1,2,"[384, 442]"
11-24-476-03802-512867,[],0,1,[1963]
11-24-476-03804-513043,['11-24-476-03804-513044'],1,1,[2070]
11-24-476-03806-513110,[],0,1,[1461]
11-24-476-03806-513115,[],0,1,[1962]
11-24-476-03809-513332,['11-24-476-03809-802505'],1,1,[777]
11-24-477-03812-513451,[],0,2,"[430, 770]"
11-24-477-03812-513458,"['11-24-477-03812-513468', '11-24-477-03812-513459', '11-24-477-03812-802510', '11-24-477-03812-513470']",4,1,[2157]
11-24-477-03813-513489,['11-24-477-03813-513509'],1,1,[2138]
11-24-477-03813-513509,"['11-24-477-03813-513515', '11-24-477-03813-513489']",2,5,"[1381, 1386, 1398, 2138, 2168]"
11-24-477-03813-513525,['11-24-477-03813-513524'],1,5,"[700, 1219, 1232, 1233, 2170]"
