shrid2,connected_villages,num_connected_villages,num_connected_roads,road_index
11-24-483-03872-517416,['11-24-483-03872-517395'],1,1,[1933]
11-24-483-03873-517423,['11-24-483-03872-517382'],1,2,"[803, 1958]"
11-24-483-03873-517444,"['11-24-483-03877-517641', '11-24-483-03873-517442', '11-24-483-03873-517443']",3,2,"[1701, 1930]"
11-24-483-03875-517572,[],0,8,"[291, 299, 441, 629, 630, 634, 635, 741]"
11-24-483-03876-517586,['11-24-483-03876-517595'],1,3,"[1282, 1675, 2391]"
11-24-483-03876-517592,['11-24-482-03863-516873'],1,2,"[85, 2341]"
11-24-483-03876-517595,['11-24-483-03876-517586'],1,2,"[1282, 1690]"
11-24-483-03876-517613,['11-24-483-03876-517614'],1,4,"[114, 922, 2342, 2357]"
11-24-483-03876-517626,[],0,1,[1966]
11-24-483-03877-517643,['11-24-483-03877-517646'],1,2,"[147, 1315]"
11-24-483-03877-517666,"['11-24-483-03877-517677', '11-24-483-03877-517664', '11-24-483-03877-517665']",3,1,[1715]
11-24-483-03877-517677,"['11-24-483-03877-517666', '11-24-483-03877-517664', '11-24-483-03877-517665']",3,1,[1715]
11-24-483-03877-517681,"['11-24-483-03878-517752', '11-24-483-03878-517753']",2,1,[1056]
11-24-483-03878-517683,['11-24-483-03871-517359'],1,1,[81]
11-24-483-03878-517688,['11-24-483-03878-517708'],1,1,[1227]
11-24-483-03878-517719,['11-24-483-03878-517697'],1,1,[1055]
11-24-484-03879-517779,"['11-24-484-03879-517782', '11-24-484-03879-517791', '11-24-484-03879-517790', '11-24-484-03879-517786', '11-24-484-03879-517797']",5,1,[1495]
11-24-484-03879-517827,['11-24-484-03880-517885'],1,1,[2178]
11-24-484-03880-517865,"['11-24-484-03880-517896', '11-24-484-03880-517867', '11-24-484-03880-517878', '11-24-484-03880-517866']",4,2,"[2353, 2354]"
11-24-484-03880-517866,"['11-24-484-03880-517896', '11-24-484-03880-517867', '11-24-484-03880-517865', '11-24-484-03880-517878']",4,1,[2353]
11-24-484-03880-517867,"['11-24-484-03880-517896', '11-24-484-03880-517865', '11-24-484-03880-517878', '11-24-484-03880-517876', '11-24-484-03880-517866']",5,2,"[104, 2353]"
11-24-484-03880-517868,"['11-24-484-03880-517888', '11-24-484-03880-517873', '11-24-484-03880-517883']",3,1,[2177]
11-24-484-03880-517879,['11-24-484-03880-517878'],1,1,[2179]
11-24-484-03880-517883,"['11-24-484-03880-517868', '11-24-484-03880-517888', '11-24-484-03880-517873']",3,1,[2177]
11-24-484-03880-517885,['11-24-484-03879-517827'],1,2,"[1358, 2178]"
11-24-484-03880-517888,"['11-24-484-03880-517868', '11-24-484-03880-517873', '11-24-484-03880-517883']",3,1,[2177]
11-24-484-03880-517896,"['11-24-484-03880-517867', '11-24-484-03880-517865', '11-24-484-03880-517878', '11-24-484-03880-517866']",4,1,[2353]
11-24-484-03880-517902,[],0,1,[1279]
11-24-484-03880-517955,"['11-24-484-03880-517960', '11-24-484-03880-517959']",2,1,[1307]
11-24-484-03880-517960,"['11-24-484-03880-517959', '11-24-484-03880-517955']",2,1,[1307]
11-24-484-03880-517969,"['11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,1,[2189]
11-24-484-03880-517985,"['11-24-484-03881-518050', '11-24-484-03880-517986']",2,1,[1241]
11-24-484-03881-517996,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03881-518024', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582']",7,1,[2189]
11-24-484-03881-518004,"['11-24-484-03881-518006', '11-24-484-03881-518005']",2,1,[2183]
11-24-484-03881-518006,"['11-24-484-03881-518004', '11-24-484-03881-518017', '11-24-484-03881-518005']",3,2,"[2006, 2183]"
11-24-484-03881-518017,"['11-24-484-03881-518018', '11-24-484-03881-518006', '11-24-485-03890-519025']",3,2,"[2006, 2184]"
11-24-484-03881-518018,"['11-24-484-03881-518017', '11-24-485-03890-519025']",2,1,[2184]
11-24-484-03881-518024,"['11-24-484-03880-517969', '11-24-484-03880-517946', '11-24-484-03880-517984', '11-24-484-03880-517925', '11-24-484-03881-518023', '11-24-484-03881-802582', '11-24-484-03881-517996']",7,1,[2189]
11-24-484-03881-518080,"['11-24-484-03881-518129', '11-24-484-03881-518108', '11-24-484-03881-518107', '11-24-484-03881-518113']",4,1,[2186]
11-24-484-03881-518093,[],0,1,[431]
11-24-484-03881-518103,"['11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518115']",7,1,[2185]
11-24-484-03881-518106,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518115']",7,1,[2185]
11-24-484-03881-518107,"['11-24-484-03881-518103', '11-24-484-03881-518080', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518113', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518129', '11-24-484-03881-518115']",10,2,"[2185, 2186]"
11-24-484-03881-518108,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518080', '11-24-484-03881-518106', '11-24-484-03881-518116', '11-24-484-03881-518113', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518129', '11-24-484-03881-518115']",10,2,"[2185, 2186]"
11-24-484-03881-518113,"['11-24-484-03881-518080', '11-24-484-03881-518129', '11-24-484-03881-518108', '11-24-484-03881-518107']",4,1,[2186]
11-24-484-03881-518115,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518127']",7,1,[2185]
11-24-484-03881-518116,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518105', '11-24-484-03881-518127', '11-24-484-03881-518115']",7,1,[2185]
11-24-484-03881-518123,"['11-24-484-03881-518139', '11-24-484-03881-518138']",2,1,[1558]
11-24-484-03881-518125,['11-24-484-03881-518126'],1,1,[1671]
11-24-484-03881-518126,['11-24-484-03881-518125'],1,1,[1671]
11-24-484-03881-518127,"['11-24-484-03881-518103', '11-24-484-03881-518107', '11-24-484-03881-518106', '11-24-484-03881-518108', '11-24-484-03881-518116', '11-24-484-03881-518105', '11-24-484-03881-518115']",7,1,[2185]
11-24-484-03881-518129,"['11-24-484-03881-518080', '11-24-484-03881-518108', '11-24-484-03881-518107', '11-24-484-03881-518113']",4,1,[2186]
11-24-484-03881-518138,"['11-24-484-03881-518123', '11-24-484-03881-518139']",2,1,[1558]
11-24-484-03882-518184,['11-24-484-03882-518186'],1,1,[619]
11-24-484-03882-518186,['11-24-484-03882-518184'],1,1,[619]
11-24-484-03882-518187,"['11-24-483-03870-517317', '11-24-484-03882-518220', '11-24-483-03870-517314', '11-24-483-03870-517315', '11-24-483-03870-517318']",5,1,[2191]
11-24-484-03882-518220,"['11-24-483-03870-517317', '11-24-483-03870-517314', '11-24-483-03870-517315', '11-24-484-03882-518187', '11-24-483-03870-517318']",5,1,[2191]
11-24-484-03883-518394,[],0,1,[2287]
11-24-484-03883-518401,['11-24-484-03883-518411'],1,1,[2330]
11-24-484-03883-518405,"['11-24-484-03883-518410', '11-24-484-03883-518406', '11-24-484-03883-518409']",3,1,[2329]
11-24-484-03883-518406,"['11-24-484-03883-518405', '11-24-484-03883-518410', '11-24-484-03883-518409']",3,1,[2329]
11-24-484-03883-518409,"['11-24-484-03883-518405', '11-24-484-03883-518410', '11-24-484-03883-518406']",3,1,[2329]
11-24-484-03883-518410,"['11-24-484-03883-518405', '11-24-484-03883-518406', '11-24-484-03883-518409']",3,1,[2329]
11-24-484-03883-518452,['11-24-484-03885-518537'],1,1,[1494]
11-24-484-03883-518453,[],0,1,[12]
11-24-484-03883-518454,[],0,1,[2051]
11-24-484-03883-518455,"['11-24-484-03883-518456', '11-24-484-03883-518468']",2,2,"[2257, 2401]"
11-24-484-03883-518456,['11-24-484-03883-518455'],1,1,[2257]
11-24-484-03883-518468,['11-24-484-03883-518455'],1,1,[2401]
11-24-484-03883-518469,[],0,1,[2270]
11-24-484-03883-518479,"['11-24-484-03885-518542', '11-24-484-03885-518543']",2,1,[290]
11-24-484-03884-518483,['11-24-484-03884-518484'],1,1,[746]
11-24-484-03884-518484,['11-24-484-03884-518483'],1,1,[746]
11-24-484-03884-518490,"['11-24-484-03884-518491', '11-24-484-03884-518532', '11-24-484-03884-518493', '11-24-484-03884-518495']",4,1,[2049]
11-24-484-03884-518491,"['11-24-484-03884-518532', '11-24-484-03884-518490', '11-24-484-03884-518495', '11-24-484-03884-518493']",4,1,[2049]
11-24-484-03884-518493,"['11-24-484-03884-518491', '11-24-484-03884-518532', '11-24-484-03884-518490', '11-24-484-03884-518495']",4,1,[2049]
11-24-484-03884-518495,"['11-24-484-03884-518491', '11-24-484-03884-518532', '11-24-484-03884-518490', '11-24-484-03884-518493']",4,1,[2049]
11-24-484-03884-518499,[],0,1,[122]
11-24-484-03884-518503,['11-24-485-03892-519238'],1,1,[809]
11-24-484-03884-518514,"['11-24-484-03884-518519', '11-24-484-03884-518520', '11-24-484-03884-518515']",3,1,[6]
11-24-484-03884-518515,"['11-24-484-03884-518520', '11-24-484-03884-518514', '11-24-484-03884-518519']",3,1,[6]
11-24-484-03884-518519,"['11-24-484-03884-518514', '11-24-484-03884-518520', '11-24-484-03884-518515']",3,1,[6]
11-24-484-03884-518522,"['11-24-484-03884-518521', '11-24-484-03884-518524']",2,1,[2046]
11-24-484-03884-518524,"['11-24-484-03884-518521', '11-24-484-03884-518522']",2,1,[2046]
11-24-484-03884-518526,['11-24-485-03895-519512'],1,1,[988]
11-24-484-03884-518527,['11-24-485-03895-519512'],1,1,[989]
11-24-484-03884-518528,"['11-24-484-03884-518529', '11-24-484-03885-518545']",2,1,[2052]
11-24-484-03884-518529,"['11-24-484-03884-518528', '11-24-484-03885-518545']",2,1,[2052]
11-24-484-03885-518541,['11-24-484-03885-518546'],1,1,[2298]
11-24-484-03885-518542,"['11-24-484-03885-518543', '11-24-484-03883-518479']",2,1,[290]
11-24-484-03885-518543,"['11-24-484-03885-518542', '11-24-484-03883-518479']",2,1,[290]
11-24-484-03885-518545,"['11-24-484-03884-518528', '11-24-484-03884-518529']",2,1,[2052]
11-24-484-03885-518546,"['11-24-484-03885-518573', '11-24-484-03885-518541']",2,2,"[2292, 2298]"
11-24-484-03885-518573,"['11-24-484-03885-518546', '11-24-484-03885-518574']",2,2,"[2040, 2292]"
11-24-484-03885-518574,['11-24-484-03885-518573'],1,1,[2040]
11-24-484-03885-518591,['11-24-484-03885-518605'],1,1,[2043]
11-24-484-03885-518604,"['11-24-484-03885-518628', '11-24-484-03885-518639']",2,1,[456]
11-24-484-03885-518635,"['11-24-485-03895-519543', '11-24-485-03895-519535']",2,1,[276]
11-24-484-03887-518725,['11-24-484-03887-518743'],1,1,[1799]
11-24-484-03887-518734,['11-24-484-03886-518703'],1,4,"[1103, 1104, 2034, 2403]"
11-24-484-03887-518743,['11-24-484-03887-518725'],1,1,[1799]
11-24-484-03887-518744,[],0,1,[2033]
11-24-484-03887-518761,[],0,1,[2035]
11-24-484-03887-518786,['11-24-484-03887-518787'],1,1,[1813]
11-24-484-03887-518787,['11-24-484-03887-518786'],1,1,[1813]
11-24-484-03888-518817,['11-24-484-03888-518822'],1,1,[23]
11-24-484-03888-518845,"['11-24-484-03888-802588', '11-24-484-03888-518862', '11-24-484-03888-518859', '11-24-484-03888-518844']",4,1,[1800]
11-24-484-03888-518869,"['11-24-484-03888-518871', '11-24-484-03888-518850', '11-24-484-03888-518873']",3,1,[2333]
11-24-484-03888-518871,"['11-24-484-03888-518873', '11-24-484-03888-518850', '11-24-484-03888-518869']",3,1,[2333]
11-24-484-03888-518873,"['11-24-484-03888-518871', '11-24-484-03888-518850', '11-24-484-03888-518869']",3,1,[2333]
11-24-484-03888-518881,"['11-24-484-03888-518882', '11-24-484-03888-518862', '11-24-484-03888-518863']",3,1,[1590]
11-24-484-03889-518953,['11-24-484-03889-518952'],1,1,[161]
11-24-484-03889-518954,"['11-24-484-03889-518948', '11-24-484-03889-518956']",2,1,[157]
11-24-485-03890-518992,['11-24-484-03881-518005'],1,1,[1902]
11-24-485-03890-519001,['11-24-485-03890-519003'],1,1,[235]
11-24-485-03890-519003,['11-24-485-03890-519001'],1,1,[235]
11-24-485-03890-519004,[],0,1,[336]
11-24-485-03890-519020,[],0,1,[1434]
11-24-485-03890-519025,"['11-24-484-03881-518018', '11-24-484-03881-518017']",2,1,[2184]
11-24-485-03890-519027,['11-24-485-03890-519024'],1,1,[356]
11-24-485-03890-519032,"['11-24-485-03890-519033', '11-24-485-03890-519035', '11-24-485-03890-519049']",3,3,"[249, 688, 1894]"
11-24-485-03890-519033,"['11-24-485-03890-519032', '11-24-485-03890-519035', '11-24-485-03890-519049']",3,3,"[688, 691, 1894]"
11-24-485-03890-519035,"['11-24-485-03890-519033', '11-24-485-03890-519032', '11-24-485-03890-519049']",3,2,"[691, 1894]"
11-24-485-03890-519042,['11-24-485-03890-519026'],1,1,[907]
11-24-485-03890-519046,"['11-24-485-03890-519047', '11-24-485-03890-519048', '11-24-485-03890-519056', '11-24-485-03890-519049']",4,2,"[381, 1896]"
11-24-485-03890-519048,"['11-24-485-03890-519046', '11-24-485-03890-519047', '11-24-485-03890-519056', '11-24-485-03890-519049']",4,2,"[381, 1896]"
11-24-485-03890-519049,"['11-24-485-03890-519033', '11-24-485-03890-519047', '11-24-485-03890-519048', '11-24-485-03890-519046', '11-24-485-03890-519032', '11-24-485-03890-519035']",6,3,"[691, 1894, 1896]"
11-24-485-03890-519053,[],0,1,[244]
11-24-485-03890-519056,"['11-24-485-03890-519047', '11-24-485-03890-519048', '11-24-485-03890-519073', '11-24-485-03890-519046', '11-24-485-03890-519063']",5,3,"[381, 1887, 1888]"
11-24-485-03890-519063,"['11-24-485-03890-519056', '11-24-485-03890-519073']",2,1,[1888]
11-24-485-03890-519073,"['11-24-485-03890-519056', '11-24-485-03890-519063']",2,1,[1888]
11-24-485-03890-519074,['11-24-485-03890-519077'],1,2,"[219, 1413]"
11-24-485-03890-519077,['11-24-485-03890-519074'],1,1,[219]
11-24-485-03890-519080,"['11-24-485-03890-519087', '11-24-485-03890-519082']",2,1,[250]
11-24-485-03890-519081,['11-24-485-03891-519104'],1,1,[254]
11-24-485-03890-519082,"['11-24-485-03890-519087', '11-24-485-03890-519080']",2,1,[250]
11-24-485-03890-519087,"['11-24-485-03890-519080', '11-24-485-03890-519082']",2,1,[250]
11-24-485-03891-519088,[],0,1,[1021]
11-24-485-03891-519089,"['11-24-485-03891-519090', '11-24-485-03891-519092']",2,1,[1926]
11-24-485-03891-519108,"['11-24-485-03891-519120', '11-24-485-03891-519111', '11-24-485-03891-519121', '11-24-485-03891-519112', '11-24-485-03891-519097']",5,1,[1774]
11-24-485-03891-519111,"['11-24-485-03891-519108', '11-24-485-03891-519120', '11-24-485-03891-519121', '11-24-485-03891-519112', '11-24-485-03891-519097']",5,1,[1774]
11-24-485-03891-519112,"['11-24-485-03891-519108', '11-24-485-03891-519120', '11-24-485-03891-519111', '11-24-485-03891-519121', '11-24-485-03891-519097']",5,2,"[253, 1774]"
11-24-485-03891-519119,"['11-24-485-03891-519120', '11-24-485-03891-802589']",2,2,"[1018, 1919]"
11-24-485-03891-519120,"['11-24-485-03891-519108', '11-24-485-03891-519111', '11-24-485-03891-519121', '11-24-485-03891-519122', '11-24-485-03891-519112', '11-24-485-03891-519097', '11-24-485-03891-519119', '11-24-485-03891-802589']",8,5,"[72, 253, 1774, 1919, 1925]"
11-24-485-03891-519121,"['11-24-485-03891-519108', '11-24-485-03891-519120', '11-24-485-03891-519111', '11-24-485-03891-519122', '11-24-485-03891-519112', '11-24-485-03891-519097']",6,2,"[72, 1774]"
11-24-485-03891-519124,"['11-24-485-03891-519182', '11-24-485-03891-519125', '11-24-485-03891-519183']",3,2,"[760, 1920]"
11-24-485-03891-519125,"['11-24-485-03891-519182', '11-24-485-03891-519124', '11-24-485-03891-519183', '11-24-485-03891-519126']",4,3,"[760, 1377, 1920]"
11-24-485-03891-519126,"['11-24-485-03891-519179', '11-24-485-03891-519125', '11-24-485-03891-519180']",3,2,"[1377, 2317]"
11-24-485-03891-519145,"['11-24-485-03891-519152', '11-24-485-03891-519147', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519156', '11-24-485-03891-519139', '11-24-485-03891-519148']",9,2,"[176, 1376]"
11-24-485-03891-519147,"['11-24-485-03891-519133', '11-24-485-03891-519152', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519145', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519156', '11-24-485-03891-519139', '11-24-485-03891-519148']",10,2,"[1376, 1778]"
11-24-485-03891-519150,"['11-24-485-03891-519152', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519147', '11-24-485-03891-519145', '11-24-485-03891-519146', '11-24-485-03891-519156', '11-24-485-03891-519139', '11-24-485-03891-519148']",9,2,"[176, 1376]"
11-24-485-03891-519152,"['11-24-485-03891-519139', '11-24-485-03891-519153', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519142', '11-24-485-03891-519147', '11-24-485-03891-519145', '11-24-485-03891-519159', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519141', '11-24-485-03891-519148', '11-24-485-03891-519156', '11-24-485-03891-519144', '11-24-485-03891-519154']",15,3,"[176, 1376, 1779]"
11-24-485-03891-519154,"['11-24-485-03891-519152', '11-24-485-03891-519153', '11-24-485-03891-519142', '11-24-485-03891-519159', '11-24-485-03891-519144', '11-24-485-03891-519141']",6,1,[1779]
11-24-485-03891-519156,"['11-24-485-03891-519152', '11-24-485-03891-519135', '11-24-485-03891-519143', '11-24-485-03891-519147', '11-24-485-03891-519145', '11-24-485-03891-519146', '11-24-485-03891-519150', '11-24-485-03891-519139', '11-24-485-03891-519148']",9,2,"[176, 1376]"
11-24-485-03891-519159,"['11-24-485-03891-519152', '11-24-485-03891-519153', '11-24-485-03891-519142', '11-24-485-03891-519154', '11-24-485-03891-519144', '11-24-485-03891-519141']",6,1,[1779]
11-24-485-03891-519169,"['11-24-485-03891-519167', '11-24-485-03892-519251', '11-24-485-03891-519168', '11-24-485-03892-519254', '11-24-485-03892-519239']",5,2,"[66, 2295]"
11-24-485-03891-519180,"['11-24-485-03891-519179', '11-24-485-03891-519126']",2,1,[2317]
11-24-485-03891-519182,"['11-24-485-03891-519124', '11-24-485-03891-519125', '11-24-485-03891-519183']",3,2,"[760, 1920]"
11-24-485-03891-519183,"['11-24-485-03891-519182', '11-24-485-03891-519124', '11-24-485-03891-519125']",3,2,"[760, 1920]"
11-24-485-03891-519187,[],0,1,[252]
11-24-485-03891-519188,['11-24-485-03891-519189'],1,2,"[1019, 1023]"
11-24-485-03891-519189,['11-24-485-03891-519188'],1,1,[1019]
11-24-485-03891-519209,"['11-24-485-03891-519211', '11-24-485-03891-519224', '11-24-485-03891-519226', '11-24-485-03891-519225', '11-24-485-03891-519210']",5,2,"[77, 1020]"
11-24-485-03891-519210,"['11-24-485-03891-519211', '11-24-485-03891-519209']",2,1,[77]
11-24-485-03891-519211,"['11-24-485-03891-519209', '11-24-485-03891-519224', '11-24-485-03891-519226', '11-24-485-03891-519225', '11-24-485-03891-519210']",5,2,"[77, 1020]"
11-24-485-03891-519214,"['11-24-485-03891-519216', '11-24-485-03891-519217', '11-24-485-03892-519312', '11-24-485-03891-519218', '11-24-485-03891-519219']",5,2,"[1773, 2291]"
11-24-485-03891-519216,['11-24-485-03891-519214'],1,1,[1773]
11-24-485-03891-519217,"['11-24-485-03891-519214', '11-24-485-03891-519218', '11-24-485-03891-519219', '11-24-485-03892-519312']",4,1,[2291]
11-24-485-03891-519219,"['11-24-485-03891-519217', '11-24-485-03891-519214', '11-24-485-03891-519218', '11-24-485-03892-519312']",4,1,[2291]
11-24-485-03891-519225,"['11-24-485-03891-519211', '11-24-485-03891-519209', '11-24-485-03891-519224', '11-24-485-03891-519226', '11-24-485-03891-519229']",5,2,"[1020, 2259]"
11-24-485-03891-519226,"['11-24-485-03891-519224', '11-24-485-03891-519225', '11-24-485-03891-519211', '11-24-485-03891-519209']",4,1,[1020]
11-24-485-03891-519228,[],0,1,[251]
11-24-485-03891-519229,['11-24-485-03891-519225'],1,1,[2259]
11-24-485-03892-519238,"['11-24-485-03892-519252', '11-24-484-03884-518503', '11-24-485-03892-519254', '11-24-485-03892-519253']",4,2,"[809, 1928]"
11-24-485-03892-519239,"['11-24-485-03892-519257', '11-24-485-03891-519167', '11-24-485-03891-519169', '11-24-485-03892-519251', '11-24-485-03891-519168', '11-24-485-03892-519254']",6,3,"[66, 745, 2295]"
11-24-485-03892-519249,['11-24-485-03892-519250'],1,1,[1635]
11-24-485-03892-519251,"['11-24-485-03892-519257', '11-24-485-03891-519167', '11-24-485-03891-519169', '11-24-485-03891-519168', '11-24-485-03892-519254', '11-24-485-03892-519239']",6,2,"[745, 2295]"
11-24-485-03892-519257,"['11-24-485-03892-519239', '11-24-485-03892-519251', '11-24-485-03892-519254', '11-24-485-03891-519167']",4,1,[745]
11-24-485-03892-519260,['11-24-485-03892-519272'],1,1,[1905]
11-24-485-03892-519293,"['11-24-485-03892-519329', '11-24-485-03892-519330', '11-24-485-03892-519312', '11-24-485-03892-519292', '11-24-485-03892-519335']",5,1,[1906]
11-24-485-03892-519301,"['11-24-485-03892-519303', '11-24-485-03892-519319', '11-24-485-03892-519318']",3,1,[1308]
11-24-485-03892-519312,"['11-24-485-03892-519329', '11-24-485-03892-519330', '11-24-485-03891-519217', '11-24-485-03892-519292', '11-24-485-03891-519214', '11-24-485-03892-519293', '11-24-485-03892-519335', '11-24-485-03891-519218', '11-24-485-03891-519219']",9,2,"[1906, 2291]"
11-24-485-03892-519318,"['11-24-485-03892-519303', '11-24-485-03892-519301', '11-24-485-03892-519319']",3,1,[1308]
11-24-485-03892-519323,"['11-24-485-03892-519341', '11-24-485-03892-519342']",2,1,[1009]
11-24-485-03892-519325,"['11-24-485-03892-519337', '11-24-485-03892-519324']",2,1,[1008]
11-24-485-03892-519329,"['11-24-485-03892-519330', '11-24-485-03892-519312', '11-24-485-03892-519292', '11-24-485-03892-519293', '11-24-485-03892-519335']",5,2,"[1225, 1906]"
11-24-485-03892-519330,"['11-24-485-03892-519329', '11-24-485-03892-519312', '11-24-485-03892-519292', '11-24-485-03892-519293', '11-24-485-03892-519335']",5,2,"[1225, 1906]"
11-24-485-03892-519335,"['11-24-485-03892-519329', '11-24-485-03892-519330', '11-24-485-03892-519312', '11-24-485-03892-519292', '11-24-485-03892-519293']",5,1,[1906]
11-24-485-03892-519341,"['11-24-485-03892-519342', '11-24-485-03892-519323']",2,1,[1009]
11-24-485-03892-519350,['11-24-485-03892-519351'],1,1,[546]
11-24-485-03892-519354,"['11-24-485-03892-519353', '11-24-485-03892-519342']",2,1,[1007]
11-24-485-03892-519356,"['11-24-485-03892-519357', '11-24-485-03892-519370', '11-24-485-03892-519363']",3,1,[136]
11-24-485-03892-519357,"['11-24-485-03892-519356', '11-24-485-03892-519370', '11-24-485-03892-519363']",3,1,[136]
11-24-485-03892-519366,[],0,2,"[137, 1306]"
11-24-485-03892-519370,"['11-24-485-03892-519356', '11-24-485-03892-519357', '11-24-485-03892-519377', '11-24-485-03892-519363']",4,3,"[136, 796, 1598]"
11-24-485-03892-519374,"['11-24-485-03892-519387', '11-24-485-03892-519385', '11-24-485-03892-519384', '11-24-485-03892-519388']",4,1,[1907]
11-24-485-03892-519377,"['11-24-485-03892-519370', '11-24-485-03892-519363']",2,2,"[796, 1598]"
11-24-485-03892-519379,[],0,1,[1560]
11-24-485-03892-519380,"['11-24-485-03896-519612', '11-24-485-03896-519609', '11-24-485-03892-519381']",3,2,"[807, 1889]"
11-24-485-03892-519381,['11-24-485-03892-519380'],1,3,"[807, 1240, 1908]"
11-24-485-03892-519384,"['11-24-485-03892-519387', '11-24-485-03892-519374', '11-24-485-03892-519385', '11-24-485-03892-519388']",4,1,[1907]
11-24-485-03892-519388,"['11-24-485-03892-519387', '11-24-485-03892-519385', '11-24-485-03892-519374', '11-24-485-03892-519384']",4,2,"[135, 1907]"
11-24-485-03893-519393,[],0,2,"[1472, 1473]"
11-24-485-03893-519429,"['11-24-485-03893-519451', '11-24-485-03893-519432', '11-24-485-03893-519450']",3,1,[422]
11-24-485-03893-519433,"['11-24-485-03893-519449', '11-24-485-03893-519457', '11-24-485-03893-519434']",3,1,[1878]
11-24-485-03893-519450,"['11-24-485-03893-519451', '11-24-485-03893-519429', '11-24-485-03893-519432']",3,1,[422]
11-24-485-03893-519457,"['11-24-485-03893-519449', '11-24-485-03893-519433', '11-24-485-03893-519434']",3,1,[1878]
11-24-485-03894-519480,['11-24-485-03894-519479'],1,2,"[1915, 1916]"
11-24-485-03894-519497,"['11-24-485-03894-519496', '11-24-485-03894-519506']",2,1,[1420]
11-24-485-03894-519505,['11-24-485-03894-519511'],1,1,[1912]
11-24-485-03894-519507,['11-24-485-03894-519498'],1,1,[1917]
11-24-485-03894-519511,['11-24-485-03894-519505'],1,2,"[781, 1912]"
11-24-485-03895-519512,"['11-24-484-03884-518527', '11-24-484-03884-518526']",2,2,"[988, 989]"
11-24-485-03895-519516,[],0,2,"[1577, 1589]"
11-24-485-03895-519528,"['11-24-485-03895-519538', '11-24-485-03895-519534', '11-24-485-03895-802591']",3,1,[1884]
11-24-485-03895-519532,[],0,1,[1387]
11-24-485-03895-519534,"['11-24-485-03895-519538', '11-24-485-03895-519528', '11-24-485-03895-802591']",3,1,[1884]
11-24-485-03895-519535,"['11-24-484-03885-518635', '11-24-485-03895-519543']",2,1,[276]
11-24-485-03895-519538,"['11-24-485-03895-519541', '11-24-485-03895-519534', '11-24-485-03895-519528', '11-24-485-03895-802591']",4,2,"[985, 1884]"
11-24-485-03895-519541,['11-24-485-03895-519538'],1,1,[985]
11-24-485-03895-519543,"['11-24-484-03885-518635', '11-24-485-03895-519535']",2,1,[276]
11-24-485-03895-519546,"['11-24-485-03895-519557', '11-24-485-03895-519561']",2,1,[990]
11-24-485-03895-519553,"['11-24-485-03895-519563', '11-24-485-03895-519555', '11-24-485-03895-519564', '11-24-485-03895-519554']",4,1,[1682]
11-24-485-03895-519554,"['11-24-485-03895-519564', '11-24-485-03895-519563', '11-24-485-03895-519555', '11-24-485-03895-519553']",4,1,[1682]
11-24-485-03895-519555,"['11-24-485-03895-519563', '11-24-485-03895-519564', '11-24-485-03895-519553', '11-24-485-03895-519554']",4,1,[1682]
11-24-485-03895-519557,"['11-24-485-03895-519561', '11-24-485-03895-519546']",2,1,[990]
11-24-485-03895-519561,"['11-24-485-03895-519557', '11-24-485-03895-519546']",2,1,[990]
11-24-485-03895-519563,"['11-24-485-03895-519572', '11-24-485-03895-519555', '11-24-485-03895-519564', '11-24-485-03895-519573', '11-24-485-03895-519571', '11-24-485-03895-519554', '11-24-485-03895-519553']",7,2,"[1682, 1881]"
11-24-485-03895-519564,"['11-24-485-03895-519563', '11-24-485-03895-519555', '11-24-485-03895-519553', '11-24-485-03895-519554']",4,1,[1682]
